City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
Atuona,0,PF,2018-10-22 00:06:31,100,-9.8,-139.03,80.42,80.42,13.22
Turukhansk,88,RU,2018-10-22 00:18:54,93,65.8,87.96,32.41,32.41,12.44
Mataura,0,NZ,2018-10-22 00:18:54,87,-46.19,168.86,66.38,66.38,4.38
Ivanteyevka,90,RU,2018-10-21 23:30:00,81,55.97,37.92,42.8,41.0,6.71
Geraldton,90,CA,2018-10-22 00:00:00,86,49.72,-86.95,30.2,30.2,3.36
Punta Arenas,0,CL,2018-10-21 23:00:00,70,-53.16,-70.91,42.8,42.8,8.05
Moree,0,AU,2018-10-22 00:18:55,85,-29.46,149.84,73.63,73.63,8.19
Port Hedland,36,AU,2018-10-22 00:00:00,35,-20.31,118.58,86.0,86.0,1.12
New Norfolk,75,AU,2018-10-22 00:00:00,55,-42.78,147.06,64.4,64.4,10.29
Tasiilaq,68,GL,2018-10-21 23:50:00,49,65.61,-37.64,23.0,23.0,13.87
Batticaloa,68,LK,2018-10-22 00:18:56,100,7.71,81.69,74.89,74.89,6.96
Saskylakh,44,RU,2018-10-22 00:18:57,81,71.97,114.09,10.09,10.09,8.19
Provideniya,75,RU,2018-10-21 23:30:00,80,64.42,-173.23,39.2,39.2,17.9
Derzhavinsk,0,KZ,2018-10-22 00:18:57,79,51.1,66.31,25.39,25.39,4.94
Tuktoyaktuk,90,CA,2018-10-22 00:00:00,92,69.44,-133.03,21.2,21.2,14.99
Katobu,0,ID,2018-10-22 00:18:58,91,-4.94,122.53,83.57,83.57,2.37
Albany,90,US,2018-10-21 23:54:00,51,42.65,-73.75,39.2,35.6,11.41
Saint-Philippe,75,CA,2018-10-22 00:00:00,51,45.36,-73.48,37.4,32.0,12.75
Fort Nelson,75,CA,2018-10-22 00:00:00,42,58.81,-122.69,48.2,48.2,2.24
Nouadhibou,92,MR,2018-10-22 00:00:00,69,20.93,-17.03,73.4,73.4,13.87
Pozo Colorado,0,PY,2018-10-22 00:18:59,50,-23.49,-58.8,83.53,83.53,9.98
Atambua,8,ID,2018-10-22 00:18:59,87,-9.11,124.89,82.09,82.09,3.83
Mujiayingzi,0,CN,2018-10-22 00:18:59,82,42.12,118.78,41.36,41.36,4.5
Petropavlovsk-Kamchatskiy,12,RU,2018-10-21 23:30:00,64,53.05,158.65,37.4,37.4,6.71
Usinsk,92,RU,2018-10-22 00:19:00,93,66.0,57.56,19.67,19.67,13.67
Miraflores,80,CO,2018-10-22 00:19:00,95,5.2,-73.14,55.54,55.54,1.25
Clyde River,90,CA,2018-10-22 00:00:00,85,70.47,-68.59,12.2,12.2,14.99
Lincoln,1,US,2018-10-21 23:54:00,51,40.8,-96.67,68.0,60.8,9.17
Kodiak,1,US,2018-10-21 22:53:00,42,39.95,-94.76,64.4,64.4,8.05
Port Lincoln,12,AU,2018-10-22 00:19:01,85,-34.72,135.86,64.31,64.31,8.41
Katsuura,75,JP,2018-10-21 23:00:00,82,33.93,134.5,59.0,59.0,4.7
Vaini,64,IN,2018-10-22 00:19:02,68,15.34,74.49,72.05,72.05,4.38
Butaritari,24,KI,2018-10-22 00:19:02,100,3.07,172.79,84.56,84.56,7.18
Srednekolymsk,0,RU,2018-10-22 00:19:02,78,67.46,153.71,2.26,2.26,2.48
Ushuaia,20,AR,2018-10-21 23:00:00,52,-54.81,-68.31,42.8,42.8,23.04
Bima,0,ID,2018-10-22 00:19:03,97,-8.45,118.73,77.9,77.9,2.82
Junction City,1,US,2018-10-21 22:56:00,40,39.03,-96.83,68.0,66.2,11.41
Bluff,0,AU,2018-10-22 00:19:03,62,-23.58,149.07,79.93,79.93,9.08
Hobart,75,AU,2018-10-22 00:00:00,55,-42.88,147.33,64.4,64.4,10.29
Bani,0,PH,2018-10-22 00:19:04,89,15.89,120.27,80.6,80.6,3.38
Qaanaaq,20,GL,2018-10-22 00:19:04,100,77.48,-69.36,5.23,5.23,11.54
Gloucester,0,GB,2018-10-21 23:50:00,71,51.87,-2.25,50.0,48.2,14.99
Nishihara,1,JP,2018-10-21 23:56:00,55,35.74,139.53,62.6,59.0,4.5
May Pen,20,JM,2018-10-21 23:00:00,70,17.97,-77.26,86.0,86.0,8.05
Auki,0,NG,2018-10-22 00:19:05,54,12.18,6.51,65.3,65.3,3.49
Namibe,32,AO,2018-10-22 00:19:05,100,-15.19,12.15,71.06,71.06,7.74
Opuwo,12,NA,2018-10-22 00:19:05,59,-18.06,13.84,61.03,61.03,3.15
Calatayud,0,ES,2018-10-22 00:00:00,93,41.35,-1.64,60.8,59.0,3.36
Walvis Bay,100,NA,2018-10-21 23:00:00,82,-22.95,14.51,59.0,59.0,3.36
Norman Wells,75,CA,2018-10-22 00:00:00,74,65.28,-126.83,35.6,35.6,4.16
East London,68,ZA,2018-10-22 00:19:09,100,-33.02,27.91,63.64,63.64,17.13
Saint-Pierre,0,FR,2018-10-22 00:00:00,81,48.95,4.24,44.6,41.0,8.05
Port Elizabeth,1,US,2018-10-21 23:56:00,69,39.31,-74.98,48.2,39.2,3.36
Yar-Sale,8,RU,2018-10-22 00:19:10,100,66.83,70.83,9.01,9.01,5.95
Hithadhoo,48,MV,2018-10-22 00:19:10,100,-0.6,73.08,77.72,77.72,3.71
Callaway,1,US,2018-10-21 23:53:00,52,46.98,-95.91,51.8,39.2,7.96
Busselton,92,AU,2018-10-22 00:19:11,100,-33.64,115.35,60.17,60.17,15.23
Zhanaozen,0,KZ,2018-10-22 00:19:11,62,43.35,52.85,47.53,47.53,8.97
Tessalit,48,ML,2018-10-22 00:19:11,21,20.2,1.01,85.73,85.73,12.66
Bethel,90,US,2018-10-21 23:53:00,86,60.79,-161.76,37.4,37.4,19.46
Bredasdorp,0,ZA,2018-10-22 00:00:00,72,-34.53,20.04,60.8,60.8,20.8
Jalu,36,LY,2018-10-22 00:19:12,66,29.03,21.55,69.76,69.76,7.52
Sembakung,92,ID,2018-10-22 00:19:12,95,3.82,117.25,76.55,76.55,2.71
Tuatapere,0,NZ,2018-10-22 00:19:13,82,-46.13,167.69,58.96,58.96,1.7
Port Alfred,8,ZA,2018-10-22 00:19:13,92,-33.59,26.89,61.66,61.66,18.92
Nikolskoye,0,RU,2018-10-21 23:30:00,75,59.7,30.79,46.4,46.4,4.47
Dasoguz,0,TM,2018-10-21 23:30:00,70,41.84,59.97,44.6,44.6,6.93
Ziro,12,IN,2018-10-22 00:19:14,93,27.54,93.82,51.26,51.26,1.7
Richards Bay,92,ZA,2018-10-22 00:19:14,80,-28.77,32.06,61.03,61.03,10.2
Conceicao da Barra,88,BR,2018-10-22 00:19:14,90,-18.59,-39.73,74.44,74.44,11.99
Cockburn Town,0,TC,2018-10-22 00:16:29,100,21.46,-71.14,81.59,81.59,11.21
Carnarvon,88,ZA,2018-10-22 00:19:15,16,-30.97,22.13,62.06,62.06,12.44
Souillac,0,FR,2018-10-22 00:00:00,71,45.6,-0.6,53.6,51.8,3.36
Cuamba,20,MZ,2018-10-22 00:19:15,78,-14.8,36.54,61.93,61.93,13.78
Killam,0,CA,2018-10-22 00:19:15,35,52.79,-111.86,48.16,48.16,9.98
Ukiah,1,US,2018-10-21 23:56:00,58,39.15,-123.21,80.6,80.6,8.05
Paamiut,88,GL,2018-10-22 00:19:16,100,61.99,-49.67,29.75,29.75,7.63
Lagoa,40,PT,2018-10-22 00:00:00,88,37.14,-8.45,62.6,62.6,8.05
Cape Town,0,ZA,2018-10-22 00:00:00,63,-33.93,18.42,60.8,60.8,6.93
Avarua,75,CK,2018-10-22 00:00:00,57,-21.21,-159.78,75.2,75.2,9.17
Namatanai,48,PG,2018-10-22 00:19:17,100,-3.66,152.44,82.67,82.67,4.16
Baruun-Urt,36,MN,2018-10-22 00:19:17,89,46.68,113.28,30.74,30.74,16.02
Margate,75,AU,2018-10-22 00:00:00,55,-43.03,147.26,64.4,64.4,10.29
Hermanus,0,ZA,2018-10-22 00:19:18,33,-34.42,19.24,63.41,63.41,7.07
Jamestown,0,AU,2018-10-22 00:19:18,28,-33.21,138.6,76.55,76.55,15.57
Esperance,20,TT,2018-10-21 23:00:00,94,10.24,-61.45,78.8,78.8,3.36
Itoman,75,JP,2018-10-21 23:56:00,78,26.12,127.67,77.0,75.2,13.87
Ialibu,76,PG,2018-10-22 00:19:19,87,-6.28,143.99,60.31,60.31,2.48
Lady Frere,32,ZA,2018-10-22 00:19:19,93,-31.7,27.23,31.51,31.51,2.26
Great Yarmouth,56,GB,2018-10-21 23:50:00,71,52.61,1.73,55.4,55.4,10.29
Kudahuvadhoo,64,MV,2018-10-22 00:19:20,100,2.67,72.89,82.76,82.76,10.42
Victoria,75,BN,2018-10-22 00:00:00,83,5.28,115.24,80.6,78.8,8.05
Nome,1,US,2018-10-21 23:55:00,59,30.04,-94.42,64.4,59.0,4.7
Roald,80,NO,2018-10-21 23:50:00,75,62.58,6.12,44.6,42.8,31.09
Kieta,68,PG,2018-10-22 00:19:21,93,-6.22,155.63,82.31,82.31,3.94
Evensk,80,RU,2018-10-22 00:19:21,100,61.92,159.24,30.47,30.47,7.18
La Rioja,88,AR,2018-10-22 00:19:21,87,-29.41,-66.86,65.48,65.48,5.06
Mahebourg,75,MU,2018-10-21 23:00:00,83,-20.41,57.7,75.2,75.2,11.41
Castro,88,CL,2018-10-22 00:19:22,89,-42.48,-73.76,47.26,47.26,4.94
Rikitea,100,PF,2018-10-22 00:19:22,98,-23.12,-134.97,75.34,75.34,8.63
Kupang,0,ID,2018-10-22 00:19:22,88,-10.16,123.6,82.85,82.85,1.7
Virginia Beach,1,US,2018-10-21 23:59:00,57,36.85,-75.98,53.6,39.2,13.87
Fianarantsoa,0,MG,2018-10-22 00:19:22,86,-21.45,47.09,44.29,44.29,3.38
Quatre Cocos,75,MU,2018-10-21 23:00:00,83,-20.21,57.76,75.2,75.2,11.41
Marzuq,0,YE,2018-10-22 00:19:23,93,14.4,46.47,54.19,54.19,2.26
Chuy,8,UY,2018-10-22 00:19:23,81,-33.69,-53.46,59.36,59.36,13.78
Gashua,0,NG,2018-10-22 00:19:23,38,12.87,11.04,69.98,69.98,5.17
Coquimbo,0,CL,2018-10-21 23:00:00,76,-29.95,-71.34,57.2,57.2,11.41
Aykhal,48,RU,2018-10-22 00:19:24,86,65.95,111.51,20.44,20.44,3.15
Sambava,20,MG,2018-10-22 00:19:24,100,-14.27,50.17,76.28,76.28,5.28
Awjilah,12,LY,2018-10-22 00:19:24,63,29.14,21.3,70.16,70.16,5.73
Hearst,88,CA,2018-10-22 00:16:13,82,49.69,-83.67,31.1,31.1,2.59
Nouakchott,88,MR,2018-10-22 00:16:15,92,18.08,-15.98,76.82,76.82,26.75
Sao Joao da Barra,75,BR,2018-10-21 23:00:00,73,-21.64,-41.05,69.8,69.8,3.36
Tiksi,12,RU,2018-10-22 00:19:25,71,71.64,128.87,-2.11,-2.11,3.71
Middelburg,0,ZA,2018-10-22 00:19:25,82,-25.77,29.46,40.69,40.69,7.96
Hilo,1,US,2018-10-21 23:08:00,69,19.71,-155.08,82.4,64.4,8.05
Lata,0,IN,2018-10-22 00:19:26,55,30.78,78.62,40.37,40.37,3.04
Thompson,75,CA,2018-10-22 00:00:00,93,55.74,-97.86,37.4,37.4,12.75
Sal Rei,75,CV,2018-10-22 00:00:00,78,16.18,-22.92,77.0,77.0,10.29
Lompoc,20,US,2018-10-21 23:58:00,77,34.64,-120.46,71.6,60.8,11.41
Myitkyina,8,MM,2018-10-22 00:19:26,96,25.38,97.4,65.98,65.98,2.04
Chokurdakh,76,RU,2018-10-22 00:19:27,85,70.62,147.9,12.61,12.61,12.77
Shingu,20,JP,2018-10-21 23:00:00,55,33.72,135.99,64.4,64.4,8.05
Dikson,56,RU,2018-10-22 00:19:27,100,73.51,80.55,24.08,24.08,7.96
Aguimes,20,ES,2018-10-22 00:00:00,77,27.91,-15.45,68.0,68.0,4.7
Cotonou,40,BJ,2018-10-22 00:00:00,83,6.37,2.43,82.4,82.4,6.93
Yellowknife,75,CA,2018-10-22 00:00:00,79,62.45,-114.38,28.4,28.4,3.36
Gigmoto,76,PH,2018-10-22 00:19:28,100,13.78,124.39,80.06,80.06,6.06
Tam Ky,40,VN,2018-10-22 00:00:00,94,15.57,108.48,78.8,78.8,3.36
Natal,40,BR,2018-10-21 23:00:00,78,-5.81,-35.21,78.8,78.8,5.82
Andreapol,0,RU,2018-10-22 00:19:29,87,56.65,32.27,30.43,30.43,10.31
Salamiyah,20,SY,2018-10-22 00:19:29,85,35.01,37.05,48.47,48.47,2.71
La Romana,20,DO,2018-10-21 23:00:00,88,18.43,-68.97,78.8,78.8,4.7
Kropotkin,56,RU,2018-10-22 00:19:29,85,45.43,40.58,56.84,56.84,7.29
Yamada,20,JP,2018-10-21 23:00:00,58,36.58,137.08,57.2,51.8,6.93
Mercedes,56,UY,2018-10-22 00:19:30,58,-33.25,-58.03,67.73,67.73,6.51
Iqaluit,5,CA,2018-10-22 00:00:00,71,63.75,-68.52,6.8,6.8,10.29
Saldanha,20,PT,2018-10-22 00:19:30,92,41.42,-6.55,51.49,51.49,3.15
Gold Coast,40,AU,2018-10-22 00:00:00,64,-28.0,153.41,75.2,75.2,11.41
Hasaki,20,JP,2018-10-21 23:30:00,72,35.73,140.83,60.8,57.2,8.05
Codrington,68,AU,2018-10-22 00:19:31,95,-28.95,153.24,67.55,67.55,4.38
Haines Junction,80,CA,2018-10-22 00:19:32,63,60.75,-137.51,42.17,42.17,5.95
Fairbanks,1,US,2018-10-21 23:58:00,57,64.84,-147.72,51.8,44.6,9.17
Puerto Ayora,0,EC,2018-10-21 23:00:00,61,-0.74,-90.35,78.8,78.8,12.75
Saint-Francois,0,FR,2018-10-22 00:00:00,100,46.42,3.91,37.4,37.4,2.24
Sao Filipe,64,CV,2018-10-22 00:19:33,98,14.9,-24.5,79.03,79.03,10.42
Khatanga,36,RU,2018-10-22 00:19:33,76,71.98,102.47,5.59,5.59,6.85
Veraval,0,FR,2018-10-22 00:00:00,93,49.65,0.71,57.2,50.0,3.36
Kavieng,80,PG,2018-10-22 00:19:34,100,-2.57,150.8,83.48,83.48,4.72
Severo-Kurilsk,56,RU,2018-10-22 00:19:34,100,50.68,156.12,41.45,41.45,7.07
Ponta do Sol,8,BR,2018-10-22 00:19:34,76,-20.63,-46.0,65.39,65.39,5.39
Cayenne,0,GF,2018-10-21 23:30:00,83,4.94,-52.33,80.6,80.6,8.05
Merauke,12,ID,2018-10-22 00:19:35,74,-8.49,140.4,85.33,85.33,10.98
Upernavik,76,GL,2018-10-22 00:19:35,100,72.79,-56.15,22.51,22.51,13.78
Basco,1,US,2018-10-22 00:15:00,43,40.33,-91.2,53.6,50.0,14.0
Pevek,76,RU,2018-10-22 00:19:35,100,69.7,170.27,21.11,21.11,6.17
Kuito,20,AO,2018-10-22 00:19:36,92,-12.38,16.94,59.0,59.0,1.36
Lavrentiya,32,RU,2018-10-22 00:19:36,100,65.58,-170.99,39.38,39.38,29.55
Khandyga,56,RU,2018-10-22 00:19:36,85,62.65,135.58,15.35,15.35,2.82
Hatton,88,LK,2018-10-22 00:19:36,97,6.89,80.6,70.03,70.03,2.71
Dengzhou,32,CN,2018-10-22 00:19:37,91,32.69,112.08,51.89,51.89,3.15
Piracicaba,0,BR,2018-10-21 23:00:00,68,-22.73,-47.65,64.4,64.4,19.46
Morro Bay,1,US,2018-10-21 23:56:00,68,35.37,-120.85,87.8,66.2,11.41
Inirida,8,CO,2018-10-22 00:19:37,93,3.87,-67.92,76.28,76.28,1.48
Mount Gambier,32,AU,2018-10-22 00:19:05,64,-37.83,140.78,66.29,66.29,10.09
Laguna,20,MX,2018-10-21 23:42:00,41,27.52,-110.01,91.4,91.4,10.29
Longyearbyen,75,NO,2018-10-21 23:20:00,69,78.22,15.63,39.2,39.2,17.22
Urengoy,80,RU,2018-10-22 00:19:38,98,65.96,78.37,27.64,27.64,9.64
Pringsewu,56,ID,2018-10-22 00:19:38,84,-5.36,104.98,76.78,76.78,1.7
Hervey Bay,24,AU,2018-10-22 00:19:39,100,-25.3,152.85,70.93,70.93,3.94
Boa Vista,20,BR,2018-10-21 23:00:00,66,2.82,-60.67,84.2,84.2,5.82
Kaka,80,TM,2018-10-22 00:19:39,65,37.35,59.62,43.03,43.03,2.37
Marathon,92,CA,2018-10-22 00:19:40,100,48.72,-86.38,38.57,38.57,13.67
Kristinehamn,8,SE,2018-10-21 23:50:00,76,59.31,14.11,53.6,48.2,11.41
Najran,40,SA,2018-10-21 23:00:00,73,17.54,44.22,69.8,69.8,5.82
Kaitangata,12,NZ,2018-10-22 00:19:40,80,-46.28,169.85,61.79,61.79,5.73
Ilulissat,44,GL,2018-10-21 23:50:00,60,69.22,-51.1,10.4,10.4,25.28
Kihei,20,US,2018-10-21 23:56:00,62,20.76,-156.45,87.8,78.8,19.46
Hobyo,88,SO,2018-10-22 00:19:41,92,5.35,48.53,76.37,76.37,6.62
Airai,0,TL,2018-10-22 00:19:41,64,-8.93,125.41,79.25,79.25,2.37
Hereford,20,GB,2018-10-22 00:19:12,79,52.06,-2.72,46.94,46.94,11.1
Port Augusta,0,AU,2018-10-22 00:00:00,13,-32.49,137.76,82.4,82.4,23.04
Barrow,92,AR,2018-10-22 00:19:42,65,-38.31,-60.23,61.66,61.66,5.61
Kapaa,20,US,2018-10-21 23:56:00,65,22.08,-159.32,86.0,82.4,13.87
Mandan,1,US,2018-10-21 23:55:00,40,46.83,-100.89,55.4,51.8,8.05
Mar del Plata,92,AR,2018-10-22 00:19:43,97,-46.43,-67.52,42.53,42.53,24.18
Gualaceo,75,EC,2018-10-21 23:00:00,63,-2.89,-78.78,60.8,60.8,11.41
Flin Flon,75,CA,2018-10-21 23:00:00,45,54.77,-101.88,48.2,48.2,16.11
Surgut,75,RU,2018-10-21 23:30:00,92,61.25,73.4,28.4,28.4,15.66
Boguchany,48,RU,2018-10-22 00:19:44,92,58.38,97.46,25.25,25.25,6.4
San Quintin,20,PH,2018-10-21 23:00:00,83,17.54,120.52,75.2,75.2,2.24
Lakes Entrance,0,AU,2018-10-22 00:19:44,77,-37.88,147.99,63.59,63.59,2.71
Ancud,76,CL,2018-10-22 00:19:44,81,-41.87,-73.83,48.38,48.38,4.16
San Cristobal,40,EC,2018-10-21 23:00:00,55,-0.39,-78.55,60.8,60.8,16.11
Datong,0,CN,2018-10-22 00:19:45,67,40.09,113.3,33.76,33.76,10.42
Sabang,88,PH,2018-10-22 00:19:45,100,13.72,123.58,78.58,78.58,3.49
Ulaanbaatar,75,MN,2018-10-21 23:30:00,73,47.92,106.92,24.8,24.8,6.71
Axim,0,GH,2018-10-22 00:19:46,100,4.87,-2.24,80.83,80.83,9.19
Tabora,0,TZ,2018-10-22 00:19:46,43,-5.02,32.81,72.14,72.14,15.23
Koulamoutou,68,GA,2018-10-22 00:19:46,97,-1.13,12.47,72.32,72.32,2.15
Guerrero Negro,0,MX,2018-10-22 00:19:46,53,27.97,-114.04,79.03,79.03,7.96
Lebu,20,ET,2018-10-22 00:00:00,82,8.96,38.73,55.4,55.4,3.36
Cabedelo,20,BR,2018-10-21 23:00:00,78,-6.97,-34.84,78.8,78.8,10.29
Torbay,90,CA,2018-10-22 00:00:00,93,47.66,-52.73,57.2,57.2,28.86
Champerico,40,MX,2018-10-21 23:47:00,74,16.38,-93.6,78.8,78.8,8.05
Makakilo City,1,US,2018-10-21 23:57:00,46,21.35,-158.09,89.6,82.4,6.93
Santa Maria,0,BR,2018-10-21 23:00:00,72,-29.69,-53.81,66.2,66.2,5.82
Faanui,12,PF,2018-10-22 00:19:50,99,-16.48,-151.75,81.05,81.05,14.0
Charleston,1,US,2018-10-21 23:54:00,86,38.35,-81.63,37.4,37.4,2.93
Klaksvik,76,FO,2018-10-21 23:50:00,70,62.23,-6.59,42.8,42.8,31.09
Tornio,90,FI,2018-10-21 23:50:00,93,61.12,27.27,50.0,48.2,19.46
Cabo San Lucas,75,MX,2018-10-21 23:49:00,74,22.89,-109.91,87.8,82.4,5.82
Ndago,24,UG,2018-10-22 00:19:52,100,-0.97,29.98,51.58,51.58,2.37
Sao Gabriel da Cachoeira,36,BR,2018-10-22 00:19:52,88,-0.13,-67.09,80.51,80.51,0.92
Bambous Virieux,75,MU,2018-10-21 23:00:00,83,-20.34,57.76,75.2,75.2,11.41
Touros,44,BR,2018-10-22 00:19:52,94,-5.2,-35.46,76.69,76.69,7.85
Pallasovka,36,RU,2018-10-22 00:19:53,71,50.04,46.89,47.44,47.44,10.76
Caconda,20,AO,2018-10-22 00:19:53,94,-13.73,15.06,60.58,60.58,4.16
Kampar,75,MY,2018-10-22 00:00:00,88,4.31,101.15,77.0,75.2,4.7
